Timestamp,Asset Name,Asset Type,Status,Buffer Update ID,CTA Destination
2026-09-14 01:56:00,"American Life Cycle_ Cubicles, Salaries, and Healthcare Costs.mp4",Video Short,Ready,BUFF_INIT_002,pharmacistbensacademy.com | (855) 835-2777
2026-09-14T05:59:13.162888+00:00,"American Life Cycle_ Cubicles, Salaries, and Healthcare Costs.mp4",Drive Short (Video),Scheduled,pending_manual,https://pharmacistbensacademy.com
2026-09-14T05:59:13.162888+00:00,"American Life Cycle_ Cubicles, Salaries, and Healthcare Costs.mp4",Drive Short (Video),Scheduled,pending_manual,https://pharmacistbensacademy.com
2026-09-14T05:59:13.162888+00:00,"American Life Cycle_ Cubicles, Salaries, and Healthcare Costs.mp4",Drive Short (Video),Scheduled,pending_manual,https://pharmacistbensacademy.com
2026-09-14T06:08:16.384809+00:00,Autoimmune Diseases Explained_ From Diabetes to Vitiligo.mp4,Drive Short (Video),Scheduled,cli_post,https://pharmacistbensacademy.com
2026-09-14T06:08:16.384809+00:00,Autoimmune Diseases Explained_ From Diabetes to Vitiligo.mp4,Drive Short (Video),Scheduled,cli_post,https://pharmacistbensacademy.com
2026-09-14T06:08:16.384809+00:00,Autoimmune Diseases Explained_ From Diabetes to Vitiligo.mp4,Drive Short (Video),Scheduled,cli_post,https://pharmacistbensacademy.com
2026-09-14T06:14:26.835030+00:00,Pharmacist Ben: The Big Fat Lie & The Muscle-Melting Drug Trap PBB 4/27/26 [Clip 0],Podcast Audiogram (Motion),Scheduled,cli_post,https://pharmacistbensacademy.com/podcasts
2026-09-14T06:14:26.835030+00:00,Pharmacist Ben: The Big Fat Lie & The Muscle-Melting Drug Trap PBB 4/27/26 [Clip 0],Podcast Audiogram (Motion),Scheduled,cli_post,https://pharmacistbensacademy.com/podcasts
2026-09-14T06:14:26.835030+00:00,Pharmacist Ben: The Big Fat Lie & The Muscle-Melting Drug Trap PBB 4/27/26 [Clip 0],Podcast Audiogram (Motion),Scheduled,cli_post,https://pharmacistbensacademy.com/podcasts
2026-09-14T06:21:23.622835+00:00,"American Life Cycle_ Cubicles, Salaries, and Healthcare Costs.mp4",Drive Short (Video),Scheduled,cli_post,https://pharmacistbensacademy.com
2026-09-14T06:21:23.622835+00:00,"American Life Cycle_ Cubicles, Salaries, and Healthcare Costs.mp4",Drive Short (Video),Scheduled,cli_post,https://pharmacistbensacademy.com
2026-09-14T06:21:23.622835+00:00,"American Life Cycle_ Cubicles, Salaries, and Healthcare Costs.mp4",Drive Short (Video),Scheduled,cli_post,https://pharmacistbensacademy.com
2026-09-14T16:35:41.512462+00:00,Autoimmune Diseases Explained_ From Diabetes to Vitiligo.mp4,Drive Short (Video),Scheduled,6aa822f84551be6d81a98426,https://pharmacistbensacademy.com
